AREA,PERIMETER,ZI_CITY_,ZI_CITY_ID,PPPTTYPE,PPPTTYPETX,PPPTNAME,PPPTFLAG,LONG,LAT,Status,towns
0.000000,0.000000,"300","300","1",Populated places (no subcategories),Badze,"1",29.388960,-17.082690,,
0.000000,0.000000,"301","301","1",Populated places (no subcategories),Msango,"1",29.763820,-17.406170,,
0.000000,0.000000,"302","302","1",Populated places (no subcategories),Nenyunka School,"1",28.259620,-17.445070,,
0.000000,0.000000,"303","303","1",Populated places (no subcategories),Binga,"1",27.344040,-17.630540,,
0.000000,0.000000,"304","304","1",Populated places (no subcategories),Zimbara,"1",29.898580,-17.653870,,
0.000000,0.000000,"307","307","1",Populated places (no subcategories),Manoti Store,"1",28.585910,-17.771380,,
0.000000,0.000000,"308","308","1",Populated places (no subcategories),Goredema,"1",28.908870,-17.862100,,
0.000000,0.000000,"309","309","2",Populated places associated with city polygons,Victoria Falls,"1",25.837530,-17.935090,Major,TOWN
0.000000,0.000000,"310","310","1",Populated places (no subcategories),Sanyati,"1",29.382370,-17.941350,,
0.000000,0.000000,"312","312","1",Populated places (no subcategories),Kariyangwe Mission,"1",27.537530,-17.983640,,
0.000000,0.000000,"316","316","1",Populated places (no subcategories),Chakari,"1",29.846470,-18.069910,,
0.000000,0.000000,"317","317","1",Populated places (no subcategories),Lusulu,"1",27.835280,-18.075030,,
0.000000,0.000000,"318","318","1",Populated places (no subcategories),Gambiza,"1",29.602000,-18.128370,,
0.000000,0.000000,"319","319","1",Populated places (no subcategories),Gokwe,"1",28.939940,-18.218340,,
0.000000,0.000000,"320","320","1",Populated places (no subcategories),Golden Valley,"1",29.787480,-18.224240,,
0.000000,0.000000,"322","322","1",Populated places (no subcategories),Njelele,"1",29.177030,-18.251000,,
0.000000,0.000000,"325","325","2",Populated places associated with city polygons,Eiffel Flats,"1",29.975950,-18.315860,,
0.000000,0.000000,"326","326","1",Populated places (no subcategories),Kamativi,"1",27.058430,-18.325860,,
0.000000,0.000000,"327","327","2",Populated places associated with city polygons,Kadoma,"1",29.914150,-18.336860,Major,TOWN
0.000000,0.000000,"329","329","2",Populated places associated with city polygons,Hwange,"1",26.501550,-18.368720,Major,TOWN
0.000000,0.000000,"332","332","1",Populated places (no subcategories),Muzvezve,"1",29.669950,-18.456810,,
0.000000,0.000000,"334","334","1",Populated places (no subcategories),Mavis,"1",29.330760,-18.481940,,
0.000000,0.000000,"336","336","1",Populated places (no subcategories),Dete,"1",26.858140,-18.629010,,
0.000000,0.000000,"343","343","1",Populated places (no subcategories),Saint Pauls Mission,"1",28.120910,-18.847450,,
0.000000,0.000000,"344","344","1",Populated places (no subcategories),Broomsgrove,"1",29.559320,-18.848870,,
0.000000,0.000000,"345","345","1",Populated places (no subcategories),Leopard,"1",29.154500,-18.908000,,
0.000000,0.000000,"346","346","2",Populated places associated with city polygons,Kwekwe,"1",29.803150,-18.929020,Major,TOWN
0.000000,0.000000,"347","347","1",Populated places (no subcategories),Delano Estate,"1",29.409010,-18.956180,,
0.000000,0.000000,"348","348","1",Populated places (no subcategories),Nkayi,"1",28.903300,-19.013510,,
0.000000,0.000000,"349","349","1",Populated places (no subcategories),Redcliff,"1",29.770830,-19.032680,,
0.000000,0.000000,"351","351","1",Populated places (no subcategories),Chiwundura,"1",29.967150,-19.159480,,
0.000000,0.000000,"353","353","1",Populated places (no subcategories),Connemara,"1",29.811510,-19.190660,,
0.000000,0.000000,"354","354","1",Populated places (no subcategories),Guwe School,"1",28.968720,-19.223470,,
0.000000,0.000000,"358","358","1",Populated places (no subcategories),Gwayi,"1",27.692760,-19.283490,,
0.000000,0.000000,"361","361","1",Populated places (no subcategories),Rosmalind,"1",29.530330,-19.388960,,
0.000000,0.000000,"364","364","1",Populated places (no subcategories),Kenilworth Estates,"1",28.955970,-19.440490,,
0.000000,0.000000,"365","365","2",Populated places associated with city polygons,Gweru,"1",29.817740,-19.451320,Major,TOWN
0.000000,0.000000,"366","366","1",Populated places (no subcategories),Nyadzi,"1",27.067540,-19.513080,,
